"id","name","short_desc","long_desc","composition","department_id","style_id","code","primary_picture","price","old_price","discount","visible","available","best_seller","page_hits"
"31","Black Quilt 3/4  Coat, zip trim ","Black Quilt 3/4  Coat, zip trim","Zip it up this season with this luxurious quilted jacket. Play with texture and shape in this outstanding  jacket which will take you from day into night! Look out for this in silver shortly.
New version in aubergine now available in cartwheel design quilting","100% Polyester","1","12","190150","09a8be570070631fce29819de33c0ed8.jpg","155","0","0","1","0","0","2452"
"69","Ivory large rose devore cami","Ivory large rose devore cami","Roses bloom over this exquisite silk devore print, combining lavender wih a dash of lime.  Under lavender or ivory silk jacket, or worn as a three piece with is co-ordinating waterfall shrug and oh-so-feminine skirt, you will be the belle of any ball.","60% silk 40% viscose Lining: 100% Polyester","6","9","600650","chesc_28.jpg","70","0","0","1","0","0","1236"
"70","Ivory large rose devore skirt - Limited Size Range Available","Ivory large rose devore skirt","Roses bloom over this exquisite silk devore print, combining lavender wih a dash of lime.  This feminine skirt looks lovely with matching top, or try it wih our indispensible ivory twinset","60% silk 40% viscose Lining: 100% Polyester","3","9","300327","chesc_6.jpg","135","0","0","1","1","0","3479"
"71","Ivory large rose devore shrug","Ivory large rose devore shrug","Exquisite cabbage rose feautures on this delighful waterfalL silk devore shrug, an instant-yetdiaphonous- cover up, for cooler evenings. With maching silk camisole for occasions or with lilac jersey, for holiday evenings you will love this print.","60% silk 40% viscose","6","9","600642","chesc_33.jpg","95","0","0","1","0","0","3358"
"72","Ivory lace bead trim cardigan","Ivory lace bead trim cardigan","Feminine lace with tiny beads makes this summer's must have cardigan your choice for any occasion.  In ivory as shown, or pretty in pink, team with match lace trimmed knit to make the ultimate summer twinset","65% viscose 35% polyamide","4","9","400408","chesc_50.jpg","45","70","0","1","0","0","989"
"73","Ivory lace bead trim cami","Ivory lace bead trim cami","Feminine lace with tiny beads trim the neckline of this stunning knit to go under any jacket or combine with matching cardigan. Also available in HOT pink","65% viscose 35% polyamide","4","11","400409","chesc_55.jpg","35","50","0","1","0","0","1093"
"74","Lavender shadow floral blouse","Lavender shadow floral blouse","Sequins and silk devore combine to create this flattering knot front blouse with modesty cami. Wear for special occassions with matching skirt or with our jet black pleat side trousers for that special dinner party.
","70% Silk 30% Viscose Lining: 100% Polyester","6","9","600628","chesc_72.jpg","105","0","0","1","0","0","2252"
"165","Black/Ivory Abstract Print Silk Skirt","Black/Ivory Abstract Print Silk Skirt","Luxe  silk crepe de chine skirt, with spiral design and black satin ribbon hem. Ring the changes with ivory or black jerseys (50.0505.)
","TBC","3","9","300314","d26a9aa27602a8ea309d621168e60caa.jpg","125","0","0","0","1","0","243"
"166","Black satin lattice trim short sleeve t-shirt ","Black satin lattice trim short sleeve t-shirt ","Satin lattice embellishes this soft sensuous jersey, which is doubled in the front to ensure a smooth silhouette.(310356)
","TBC","5","0","500503","54aa54465d1f94e89ff37b57f688dcdd.jpg","40","40","0","1","1","0","783"
"76","Apricot silk print devore shrug","Apricot silk print devore shrug","Tiny sequins trim the unique tucking on the sleeves and neckline of this sensual silk devore jacket, which makes a feminine twinset, or the perfect outfit for a wedding or christening.","60% silk 40% viscose","6","9","600604","chesc_90.jpg","100","100","0","0","0","0","1776"
"77","Apricot silk print devore cami","Apricot silk print devore cami","Tiny sequins trim the unique tucking on shoulder of this sensual silk devore camisole which makes a feminine twinset, or the perfect outfit for a wedding or christening.","60% silk 40% viscose Lining: 100% Polyester","6","9","600605","chesc_99.jpg","70","70","0","0","0","0","1561"
"78","Apricot silk print devore skirt","Apricot silk print devore skirt","Frothy and feminine, this bead trim skirt combines tiny beads with clever tucks to complete the perfect wedding outfit.","60% silk 40% viscose Lining: 100% Polyester","3","9","300304","chesc_84.jpg","99","99","0","0","0","0","3354"
"32","Black/chestnut jacquard jacket ","Black/chestnut jacquard jacket ","Diamonds are forever, in this delightful jacket, is easy the epitome of easy chic!.This opulent Italian wool jacquard, dressed up or down,in style worn loose or cinched in with patent belt..","34% Polyester, 35% Poly Acrylic,31% Cotton","1","0","190161","2e8b17ae3b1d42e47c7974d2e6c9ac77.jpg","145","145","0","1","1","0","1770"
"80","Silver silk blouse, with ivory spots","Silver silk blouse, with ivory spots","Generous jabot and  unique guaged sleeves are  flirty and feminine, complimenting this cute spot silk crepe de chine blouse. Try it with an ivory skirt and jacket, or a silver linen jacket and pants. ","100% silk","6","9","600632","chesc_127.jpg","105","0","0","1","0","0","3617"
"81","Silver silk skirt, ivory spot ","Silver silk skirt, ivory spot","Clever panelling combined with a circular hemline ensure a slim silhouette. This stylish skirt is a much-loved favourite of our chesca girls, available for the first time in pure silk crepe de chine, with a crisp ivory spot. With matching blouse or ivory twinset, this will become a much loved favourite in your wardrobe.

 
","100% silk Lining: 100% Acetate","3","0","300317","chesc_128.jpg","135","0","0","1","0","0","1873"
"82","Mocha silk georgette shrug wih floral trim.","Mocha silk georgette shrug wih floral trim.","Silk flowers embellish this stunning mocha silk georgette shrug, synonymous with romance.Worn over beautiful matching dress or with simple ivory camisole, you will be a work of art.","100% silk","8","9","600619","chesc_152.jpg","100","0","0","1","1","0","3919"
"128","Avocado Linen Waterfall Jacket","Avocado Linen Waterfall Jacket","This easy linen jacket is the epitome of understated elegance with button trim detail at sleeve and back vent. Available in oatmeal, hot pink, denim blue and sand-some of our customers have one in every colour
","100% linen","1","11","100109","4faadcd9f96cde2dbd833b6e99c9c70a.jpg","125","0","0","1","1","0","2115"
